epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12393,1.2169,3.34925,1.57733,0.01408,1,0.04338,0.01667,0.95248,4.17434,1.79445,1.25e-05,1.25e-05,1.25e-05
2,4.03485,1.13974,3.25047,1.51723,0.01493,1,0.13377,0.09014,0.71271,4.10582,1.64623,3.62625e-05,3.62625e-05,3.62625e-05
3,5.9303,1.0192,3.191,1.3876,0.01508,1,0.39469,0.23383,0.51002,3.89469,1.57491,5.8375e-05,5.8375e-05,5.8375e-05
4,7.85529,0.88886,3.10635,1.40845,0.01523,1,0.544,0.44183,0.44607,3.83342,1.44224,7.88375e-05,7.88375e-05,7.88375e-05
5,9.73444,0.66643,2.96816,1.26918,0.01546,1,0.645,0.48451,0.40835,3.83512,1.41926,9.765e-05,9.765e-05,9.765e-05
6,11.5974,0.54231,2.75113,1.11274,0.01765,1,0.61,0.59684,0.39967,3.80778,1.38838,0.000114813,0.000114813,0.000114813
7,13.4862,0.54919,2.68107,1.13549,0.02055,1,0.70625,0.58794,0.51238,3.87137,1.39953,0.000130325,0.000130325,0.000130325
8,15.3263,0.64512,2.64991,1.21966,0.02521,1,0.6925,0.57835,0.65926,3.9642,1.43523,0.000144187,0.000144187,0.000144187
9,17.1896,0.46942,2.39493,1.05733,0.02778,1,0.68562,0.5726,0.80425,3.9391,1.55999,0.0001564,0.0001564,0.0001564
10,19.0656,0.69421,2.51279,1.29001,0.02752,1,0.68047,0.57031,0.57854,3.98135,1.37189,0.000166962,0.000166962,0.000166962
11,20.9515,0.60548,2.23766,1.13086,0.02151,0.66667,0.66862,0.66862,0.74271,3.83061,1.46913,0.000175875,0.000175875,0.000175875
12,22.8038,0.53435,1.88663,1.18219,0.02151,0.66667,0.66862,0.66862,0.74271,3.83061,1.46913,0.000183137,0.000183137,0.000183137
13,24.674,0.47597,1.86019,1.09951,0.02353,0.66667,0.66896,0.66896,0.66165,3.79346,1.37599,0.00018875,0.00018875,0.00018875
14,26.5373,0.37634,1.67875,1.01008,0.02703,0.66667,0.66955,0.61979,0.69268,3.75886,1.3726,0.000192713,0.000192713,0.000192713
15,28.4028,0.43187,1.48796,1.07061,0.02703,0.66667,0.66955,0.61979,0.69268,3.75886,1.3726,0.000195025,0.000195025,0.000195025
16,30.2722,0.36525,1.48287,1.04965,0.03509,0.66667,0.67091,0.476,0.72859,3.84466,1.38037,0.000195688,0.000195688,0.000195688
17,32.1296,0.34636,1.48181,1.04626,0.05263,0.66667,0.67386,0.39181,1.07711,4.02918,1.57248,0.0001947,0.0001947,0.0001947
18,33.9929,0.3975,1.31523,1.06538,0.05263,0.66667,0.67386,0.39181,1.07711,4.02918,1.57248,0.000192062,0.000192062,0.000192062
19,35.8671,0.32549,1.16733,0.98846,0.06667,0.66667,0.67622,0.4876,1.11211,3.95179,1.61248,0.000187775,0.000187775,0.000187775
20,37.7101,0.41407,1.27353,1.07351,0.06667,0.66667,0.67622,0.4876,1.11211,3.95179,1.61248,0.000181838,0.000181838,0.000181838
21,39.5584,0.42464,2.08344,1.04136,0.05882,0.66667,0.6749,0.6749,0.74663,3.70121,1.39139,0.00017425,0.00017425,0.00017425
22,41.3885,0.29762,1.78221,0.92969,0.05882,0.66667,0.6749,0.6749,0.74663,3.70121,1.39139,0.000165013,0.000165013,0.000165013
23,43.235,0.55879,2.04785,1.20977,0.86182,0.66667,0.67363,0.67363,0.85937,3.39472,1.43992,0.000154125,0.000154125,0.000154125
24,45.0547,0.30468,1.64387,1.02923,0.86182,0.66667,0.67363,0.67363,0.85937,3.39472,1.43992,0.000141587,0.000141587,0.000141587
25,46.9107,0.42299,1.82772,1.22515,0.93418,0.66667,0.67363,0.67363,1.07023,3.29116,1.55893,0.0001274,0.0001274,0.0001274
26,48.7586,0.27359,1.53935,0.97738,0.93418,0.66667,0.67363,0.67363,1.07023,3.29116,1.55893,0.000111562,0.000111562,0.000111562
27,50.5934,0.36147,1.81501,1.11483,0.93418,0.66667,0.67363,0.67363,1.07023,3.29116,1.55893,9.4075e-05,9.4075e-05,9.4075e-05
28,52.4377,0.29487,1.50564,0.98768,0.94952,0.66667,0.67283,0.67283,0.67076,3.24206,1.30359,7.49375e-05,7.49375e-05,7.49375e-05
29,54.2707,0.30365,1.55931,1.04725,0.94952,0.66667,0.67283,0.67283,0.67076,3.24206,1.30359,5.415e-05,5.415e-05,5.415e-05
30,56.1321,0.26139,1.44732,0.99616,0.95958,0.66667,0.6875,0.6737,0.60506,3.14759,1.27347,3.17125e-05,3.17125e-05,3.17125e-05
